"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",0,0.5,0.75,0.75,0.75,0.25,0.75,0.5,0.5,1,1,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,0.666666666666667,1,0.25,0.5,0.75,1,0.75,1,0.75,1,1,0.75,0.75,0.5,0.25,0.75,0.75,0.75,0.75,1,1,0.5,0.75,0.75,0.75
"2",0.5,0,0.5,0.75,0.75,0.5,0.5,1,0.5,0.75,1,0.75,0.75,0.75,0.25,0.75,1,0.75,0.25,0.666666666666667,0.75,0.5,0.75,0.5,1,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1,1,0.75,0.5,0.5,0.75
"3",0.75,0.5,0,0.5,0.5,0.75,0.5,1,0.5,0.75,1,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,0.666666666666667,0.75,0.75,1,0.5,1,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,0.5,0.75,0.75,1,0.75,0.75,0.25,0.5,0.75
"4",0.75,0.75,0.5,0,0.5,0.75,0.75,1,0.75,1,1,0.25,0.75,0.5,1,1,0.75,0.25,1,0.833333333333333,1,0.75,1,0.75,1,0.75,1,0.5,1,1,1,0.75,0.75,1,0.75,0.75,0.75,0.25,1,0.75,0.75,0.5,0.75,1
"5",0.75,0.75,0.5,0.5,0,0.75,0.5,1,0.5,0.75,0.5,0.75,0.75,0.75,1,1,1,0.75,1,0.666666666666667,1,0.75,1,0.75,1,0.75,1,0.75,1,1,0.75,0.75,0.75,1,0.75,0.75,0.25,0.75,1,0.75,0.75,0.5,0.75,1
"6",0.25,0.5,0.75,0.75,0.75,0,0.75,0.75,0.75,1,1,0.75,0.75,0.75,0.75,1,1,0.75,0.75,0.666666666666667,1,0.25,0.5,0.75,1,0.75,0.75,0.75,1,1,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,1,0.75,0.75,0.75,0.5,1
"7",0.75,0.5,0.5,0.75,0.5,0.75,0,1,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,0.5,0.75,0.75,1,0.5,0.75,0.75,1,0.75,0.75,0.75,0.5,0.75,0.75,1,0.75,0.5,0.5,0.75,0.75,1,0.75,0.5,0.5,0.75
"8",0.5,1,1,1,1,0.75,1,0,0.75,1,1,0.75,1,1,1,0.5,1,1,0.75,0.666666666666667,0.5,0.75,0.75,1,1,0.75,1,0.75,1,0.75,0.75,0.75,0.75,0.5,1,1,1,1,0.75,1,0.5,1,1,0.75
"9",0.5,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0,0.5,0.75,0.75,0.75,0.75,0.75,0.5,1,0.75,0.75,0.5,0.75,0.75,1,0.5,1,0.75,1,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.75,1,1,0.5,0.5,0.5,0.75
"10",1,0.75,0.75,1,0.75,1,0.25,1,0.5,0,0.5,1,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.75,1,0.75,0.75,0.5,1,0.75,1,0.5,0.75,0.5,1,0.75,0.75,0.5,0.75,0.75,1,0.75,0.75,1,0.75,0.75,0.5
"11",1,1,1,1,0.5,1,0.75,1,0.75,0.5,0,1,0.75,0.5,0.75,1,0.75,0.75,1,0.666666666666667,1,1,0.75,1,0.75,1,0.5,1,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.75,0.75,1,1,1,0.75
"12",0.75,0.75,0.75,0.25,0.75,0.75,0.75,0.75,0.75,1,1,0,0.75,0.5,1,0.75,0.75,0.25,0.75,0.833333333333333,0.75,0.75,1,0.75,1,0.5,1,0.75,1,0.75,0.75,0.5,0.75,1,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75,1
"13",0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,0.75,0.75,0,0.5,0.75,1,0.75,0.5,1,0.833333333333333,1,0.75,0.5,0.75,0.75,0.25,0.75,0.75,0.75,1,1,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"14",0.75,0.75,0.75,0.5,0.75,0.75,0.75,1,0.75,0.75,0.5,0.5,0.5,0,0.75,1,0.5,0.25,1,0.833333333333333,1,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1,1,0.5,0.75,0.75,0.5,0.75,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.75
"15",0.75,0.25,0.75,1,1,0.75,0.75,1,0.75,0.5,0.75,1,0.75,0.75,0,0.75,0.75,0.75,0.25,0.666666666666667,0.75,0.75,0.5,0.75,0.75,1,0.75,1,0.5,0.75,0.75,1,0.75,0.5,0.75,0.75,1,1,0.75,0.75,1,0.75,0.75,0.5
"16",0.75,0.75,0.75,1,1,1,0.75,0.5,0.5,0.75,1,0.75,1,1,0.75,0,1,1,0.5,0.666666666666667,0.25,1,1,0.75,1,0.75,1,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.75,1,1,0.75,1,0.5,0.75,0.75,0.75
"17",1,1,1,0.75,1,1,1,1,1,0.75,0.75,0.75,0.75,0.5,0.75,1,0,0.5,1,0.833333333333333,1,1,0.75,1,0.5,1,0.75,1,0.75,1,1,1,0.75,0.75,0.75,1,1,0.75,0.5,0.75,1,1,1,0.75
"18",0.75,0.75,0.75,0.25,0.75,0.75,0.75,1,0.75,0.75,0.75,0.25,0.5,0.25,0.75,1,0.5,0,1,0.833333333333333,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.75
"19",0.75,0.25,0.75,1,1,0.75,0.75,0.75,0.75,0.75,1,0.75,1,1,0.25,0.5,1,1,0,0.666666666666667,0.5,0.75,0.75,0.75,1,0.75,1,1,0.75,0.5,0.5,0.75,1,0.75,1,0.75,1,1,0.75,1,0.75,0.75,0.75,0.75
"20",0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5,0.5,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667
"21",1,0.75,0.75,1,1,1,0.75,0.5,0.75,0.75,1,0.75,1,1,0.75,0.25,1,1,0.5,0.666666666666667,0,1,1,0.75,1,0.75,1,0.75,0.75,0.5,0.5,0.75,1,1,0.75,0.75,1,1,0.75,1,0.75,0.75,0.75,0.5
"22",0.25,0.5,0.75,0.75,0.75,0.25,0.75,0.75,0.75,1,1,0.75,0.75,0.75,0.75,1,1,0.75,0.75,0.666666666666667,1,0,0.25,0.5,1,0.75,1,0.75,1,1,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,1,1,0.75,0.75,0.75,1
"23",0.5,0.75,1,1,1,0.5,1,0.75,1,0.75,0.75,1,0.5,0.75,0.5,1,0.75,0.75,0.75,0.666666666666667,1,0.25,0,0.75,0.75,0.75,0.75,1,0.75,1,0.75,1,0.75,0.25,0.75,1,1,1,0.75,0.75,1,1,1,0.75
"24",0.75,0.5,0.5,0.75,0.75,0.75,0.5,1,0.5,0.75,1,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,0.666666666666667,0.75,0.5,0.75,0,1,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,0.5,0.75,0.75,1,1,0.75,0.5,0.5,0.75
"25",1,1,1,1,1,1,0.75,1,1,0.5,0.75,1,0.75,0.75,0.75,1,0.5,0.75,1,0.833333333333333,1,1,0.75,1,0,1,0.5,1,0.75,1,1,1,0.75,0.75,0.5,1,1,1,0.25,0.5,1,1,1,0.75
"26",0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,0.5,0.25,0.75,1,0.75,1,0.75,0.75,0.833333333333333,0.75,0.75,0.75,0.75,1,0,1,0.75,1,0.75,0.75,0.5,0.75,1,0.75,0.75,0.75,0.75,0.75,1,0.5,0.75,0.75,1
"27",1,1,1,1,1,0.75,1,1,1,0.75,0.5,1,0.75,0.5,0.75,1,0.75,0.75,1,0.833333333333333,1,1,0.75,1,0.5,1,0,1,0.75,1,1,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.25,1,1,0.75,0.75
"28",0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,1,1,0.75,0.75,0.75,1,0.75,1,0.75,1,0.833333333333333,0.75,0.75,1,0.75,1,0.75,1,0,0.75,0.75,1,0.75,0.75,1,0.5,0.5,0.75,0.5,1,1,0.75,0.75,0.5,0.75
"29",1,0.75,0.75,1,1,1,0.75,1,0.75,0.5,0.75,1,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.666666666666667,0.75,1,0.75,0.75,0.75,1,0.75,0.75,0,0.25,0.75,1,0.75,0.75,0.5,0.5,1,1,0.75,0.75,1,0.75,0.5,0.5
"30",1,0.75,0.75,1,1,1,0.75,0.75,0.75,0.75,1,0.75,1,1,0.75,0.5,1,1,0.5,0.666666666666667,0.5,1,1,0.75,1,0.75,1,0.75,0.25,0,0.5,0.75,1,1,0.75,0.5,1,1,0.75,1,0.75,0.75,0.5,0.75
"31",0.75,0.75,0.75,1,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,1,1,0.75,0.5,1,1,0.5,0.333333333333333,0.5,0.75,0.75,0.75,1,0.75,1,1,0.75,0.5,0,0.75,1,0.75,1,0.75,0.75,1,0.75,1,0.75,0.75,0.75,0.75
"32",0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,0.5,0.75,0.5,1,0.75,1,0.75,0.75,0.833333333333333,0.75,0.75,1,0.75,1,0.5,0.75,0.75,1,0.75,0.75,0,0.75,1,0.75,0.75,0.75,0.5,0.75,1,0.5,0.5,0.75,1
"33",0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,0.833333333333333,1,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1,1,0.75,0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.75
"34",0.25,0.75,1,1,1,0.5,1,0.5,0.75,0.75,0.75,1,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.666666666666667,1,0.5,0.25,1,0.75,1,0.75,1,0.75,1,0.75,1,0.75,0,0.75,1,1,1,0.75,0.75,0.75,1,1,0.5
"35",0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.5,1,0.833333333333333,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.75,1,0.75,0.75,0.75,0,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75
"36",0.75,0.5,0.5,0.75,0.75,0.75,0.5,1,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,0.666666666666667,0.75,0.75,1,0.5,1,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.75,1,0.5,0,0.5,0.5,1,1,0.75,0.5,0.25,0.75
"37",0.75,0.75,0.75,0.75,0.25,0.75,0.5,1,0.5,0.75,0.25,0.75,0.75,0.75,1,1,1,0.75,1,0.666666666666667,1,0.75,1,0.75,1,0.75,0.75,0.75,1,1,0.75,0.75,0.75,1,0.75,0.5,0,0.5,1,1,0.75,0.75,0.75,1
"38",0.75,0.75,0.75,0.25,0.75,0.75,0.75,1,0.75,1,0.75,0.5,0.75,0.25,1,1,0.75,0.5,1,0.833333333333333,1,0.75,1,0.75,1,0.75,0.75,0.5,1,1,1,0.5,0.75,1,0.75,0.5,0.5,0,1,1,0.75,0.75,0.75,1
"39",1,1,1,1,1,1,0.75,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.833333333333333,0.75,1,0.75,1,0.25,0.75,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,0,0.75,0.75,1,1,0.75
"40",1,1,0.75,0.75,0.75,0.75,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,0.5,1,0.833333333333333,1,1,0.75,1,0.5,1,0.25,1,0.75,1,1,1,0.5,0.75,0.75,1,1,1,0.75,0,1,0.75,0.75,0.75
"41",0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,1,1,0.5,0.75,0.75,1,0.5,1,0.75,0.75,0.833333333333333,0.75,0.75,1,0.75,1,0.5,1,0.75,1,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,1,0,0.75,0.75,0.75
"42",0.75,0.5,0.25,0.5,0.5,0.75,0.5,1,0.5,0.75,1,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,0.666666666666667,0.75,0.75,1,0.5,1,0.75,1,0.75,0.75,0.75,0.75,0.5,0.75,1,0.75,0.5,0.75,0.75,1,0.75,0.75,0,0.5,0.75
"43",0.75,0.5,0.5,0.75,0.75,0.5,0.5,1,0.5,0.75,1,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,0.666666666666667,0.75,0.75,1,0.5,1,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.5,1,0.5,0.25,0.75,0.75,1,0.75,0.75,0.5,0,0.75
"44",0.75,0.75,0.75,1,1,1,0.75,0.75,0.75,0.5,0.75,1,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.666666666666667,0.5,1,0.75,0.75,0.75,1,0.75,0.75,0.5,0.75,0.75,1,0.75,0.5,0.75,0.75,1,1,0.75,0.75,0.75,0.75,0.75,0
